cof_id,topology_name,topology_id,topology_pt_path,node1_connectivity,node1_linker_id,node2_connectivity,node2_linker_id,parent_2c_id,edge_fn_id,edge_linker_type,coverage_pct,coverage_fraction,bridge_type,base_id,functionalization_type,LCD,PLD,N_base_FLP,C_FLP,N_base_FLP_sim,C_FLP_sim,edge_slots,node_slots,total_slots,n_fn_edges_expected,n_unfn_edges_expected
COF_000004,cds,25,embed/25.pt,4,0,4,0,9,-1,unfn,0,0.0,none,-1,none,35.85248,25.42279,2,0.440106,2,0.440106,4,2,6,0.0,4.0
COF_000008,cds,25,embed/25.pt,4,1,4,1,7,1418,fn,75,0.75,ph,1,base,17.99486,15.92277,18,4.551009,14,4.071718,4,2,6,3.0,1.0
COF_000009,cds,25,embed/25.pt,4,0,4,0,6,835,fn,25,0.25,ch2,10,base,33.3324,24.5183,4,0.64772,4,0.64772,4,2,6,1.0,3.0
COF_000010,cds,25,embed/25.pt,4,3,4,3,5,1330,fn,25,0.25,ph,6,base,8.74921,5.2831,0,0.0,0,0.0,4,2,6,1.0,3.0
COF_000015,cds,25,embed/25.pt,4,3,4,3,1,-1,unfn,0,0.0,none,-1,none,17.13486,11.92091,0,0.0,0,0.0,4,2,6,0.0,4.0
COF_000017,cds,25,embed/25.pt,4,1,4,1,4,217,fn,100,1.0,dir,24,base,26.73505,20.09291,5,1.206066,4,1.11026,4,2,6,4.0,0.0
COF_000018,cds,25,embed/25.pt,4,3,4,3,4,1301,fn,25,0.25,ph,10,base,16.43235,10.25736,41,16.156932,8,5.331817,4,2,6,1.0,3.0
COF_000034,cds,25,embed/25.pt,4,3,4,3,8,362,fn,50,0.5,dir,2,base,10.54512,7.19655,0,0.0,0,0.0,4,2,6,2.0,2.0
COF_000035,cds,25,embed/25.pt,4,1,4,1,12,1011,fn,25,0.25,ch2,19,base,28.91827,20.50913,3,0.36455,2,0.300651,4,2,6,1.0,3.0
COF_000040,cds,25,embed/25.pt,4,3,4,3,6,272,fn,75,0.75,dir,7,base,9.84909,6.6896,0,0.0,0,0.0,4,2,6,3.0,1.0
COF_000046,cds,25,embed/25.pt,4,1,4,1,4,199,fn,50,0.5,dir,10,base,29.51227,20.52814,7,2.769799,4,2.062085,4,2,6,2.0,2.0
COF_000048,cds,25,embed/25.pt,4,1,4,1,6,-1,unfn,0,0.0,none,-1,none,22.56123,15.93953,13,4.468695,9,3.173332,4,2,6,0.0,4.0
COF_000063,cds,25,embed/25.pt,4,3,4,3,6,1360,fn,50,0.5,ph,2,base,7.99245,5.52999,0,0.0,0,0.0,4,2,6,2.0,2.0
COF_000064,cds,25,embed/25.pt,4,1,4,1,2,1173,fn,25,0.25,ph,6,base,29.45012,21.28503,6,1.408806,5,1.343467,4,2,6,1.0,3.0
COF_000065,cds,25,embed/25.pt,4,0,4,0,12,-1,unfn,0,0.0,none,-1,none,41.24936,29.64418,3,0.313436,3,0.313436,4,2,6,0.0,4.0
COF_000067,cds,25,embed/25.pt,4,3,4,3,10,1501,fn,25,0.25,ph,14,base,11.7482,6.5911,0,0.0,0,0.0,4,2,6,1.0,3.0
COF_000068,cds,25,embed/25.pt,4,1,4,1,5,225,fn,50,0.5,dir,2,base,20.19699,15.67134,16,7.399802,10,4.67369,4,2,6,2.0,2.0
COF_000069,cds,25,embed/25.pt,4,3,4,3,10,1497,fn,100,1.0,ph,9,base,9.17579,5.6024,0,0.0,0,0.0,4,2,6,4.0,0.0
COF_000072,cds,25,embed/25.pt,4,1,4,1,9,381,fn,75,0.75,dir,1,base,21.73083,16.14407,17,5.90554,13,5.033213,4,2,6,3.0,1.0
COF_000075,cds,25,embed/25.pt,4,0,4,0,8,1461,fn,25,0.25,ph,4,base,35.51403,25.08051,5,0.751563,5,0.751563,4,2,6,1.0,3.0
COF_000078,cds,25,embed/25.pt,4,1,4,1,11,968,fn,25,0.25,ch2,9,base,20.4184,15.37459,26,8.69459,11,4.816474,4,2,6,1.0,3.0
COF_000079,cds,25,embed/25.pt,4,3,4,3,11,-1,unfn,0,0.0,none,-1,none,9.99201,7.02967,0,0.0,0,0.0,4,2,6,0.0,4.0
COF_000084,cds,25,embed/25.pt,4,1,4,1,5,-1,unfn,0,0.0,none,-1,none,21.31702,16.32842,11,3.204003,7,2.416299,4,2,6,0.0,4.0
COF_000087,cds,25,embed/25.pt,4,3,4,3,4,199,fn,25,0.25,dir,10,base,16.67244,11.10359,48,21.809718,8,6.316521,4,2,6,1.0,3.0
COF_000097,cds,25,embed/25.pt,4,1,4,1,1,627,fn,100,1.0,ch2,8,base,25.56882,19.93074,5,1.644448,4,1.602797,4,2,6,4.0,0.0
COF_000099,cds,25,embed/25.pt,4,1,4,1,10,400,fn,100,1.0,dir,0,base,23.3701,16.12293,23,9.982478,13,6.441541,4,2,6,4.0,0.0
COF_000100,cds,25,embed/25.pt,4,1,4,1,6,290,fn,25,0.25,dir,19,base,22.66654,15.98775,10,4.715191,9,4.262544,4,2,6,1.0,3.0
COF_000101,cds,25,embed/25.pt,4,0,4,0,7,-1,unfn,0,0.0,none,-1,none,31.47446,24.19075,3,0.830846,3,0.830846,4,2,6,0.0,4.0
COF_000106,cds,25,embed/25.pt,4,1,4,1,10,1489,fn,50,0.5,ph,1,base,20.22578,16.17011,32,12.457037,15,6.625876,4,2,6,2.0,2.0
COF_000109,qtz,26,embed/26.pt,4,4,4,4,0,1112,fn,50,0.5,ph,4,base,15.25099,13.62747,16,2.248087,16,2.248087,6,3,9,3.0,3.0
COF_000110,qtz,26,embed/26.pt,4,6,4,6,7,1399,fn,75,0.75,ph,10,base,14.63217,9.82373,28,5.977281,18,4.42736,6,3,9,4.5,1.5
COF_000114,qtz,26,embed/26.pt,4,8,4,8,3,177,fn,25,0.25,dir,26,base,21.61937,18.08049,5,0.735043,4,0.663331,6,3,9,1.5,4.5
COF_000118,qtz,26,embed/26.pt,4,8,4,8,4,-1,unfn,0,0.0,none,-1,none,21.3761,19.28137,9,3.737345,4,1.809336,6,3,9,0.0,6.0
COF_000119,qtz,26,embed/26.pt,4,7,4,7,9,387,fn,100,1.0,dir,8,base,5.97646,3.8934,0,0.0,0,0.0,6,3,9,6.0,0.0
COF_000122,qtz,26,embed/26.pt,4,4,4,4,7,-1,unfn,0,0.0,none,-1,none,17.28666,11.24143,14,1.549488,14,1.549488,6,3,9,0.0,6.0
COF_000125,qtz,26,embed/26.pt,4,8,4,8,6,851,fn,25,0.25,ch2,23,base,15.06452,12.96191,12,7.699946,6,5.586975,6,3,9,1.5,4.5
COF_000128,qtz,26,embed/26.pt,4,7,4,7,5,-1,unfn,0,0.0,none,-1,none,6.15013,4.18062,0,0.0,0,0.0,6,3,9,0.0,6.0
COF_000129,qtz,26,embed/26.pt,4,7,4,7,13,1646,fn,50,0.5,ph,7,base,4.44058,1.55827,0,0.0,0,0.0,6,3,9,3.0,3.0
COF_000130,qtz,26,embed/26.pt,4,4,4,4,1,1145,fn,100,1.0,ph,9,base,18.46505,14.97975,4,1.089507,4,1.089507,6,3,9,6.0,0.0
COF_000138,qtz,26,embed/26.pt,4,6,4,6,8,909,fn,50,0.5,ch2,6,base,15.41463,12.57811,22,6.817923,20,6.64335,6,3,9,3.0,3.0
COF_000139,qtz,26,embed/26.pt,4,6,4,6,6,820,fn,50,0.5,ch2,0,base,14.65498,11.9389,16,7.605274,16,7.605274,6,3,9,3.0,3.0
COF_000140,qtz,26,embed/26.pt,4,6,4,6,0,4,fn,25,0.25,dir,5,base,14.62169,10.77473,1,0.140777,1,0.140777,6,3,9,1.5,4.5
